customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
CUST0001,Aarav Garcia,aarav.garcia0001@example.com,United States,2023-07-18,Premium,1936.13
CUST0002,Priya Garcia,priya.garcia0002@example.com,United Kingdom,2025-04-24,Standard,318.56
CUST0003,James Smith,james.smith0003@example.com,Germany,2023-04-22,Basic,5137.06
CUST0004,Sofia Costa,sofia.costa0004@example.com,Germany,2025-08-23,Basic,4654.76
CUST0005,Wei Rossi,wei.rossi0005@example.com,Japan,2025-04-21,Standard,6889.69
CUST0006,Amara Sharma,amara.sharma0006@example.com,India,2025-11-30,Standard,2925.12
CUST0007,Noah Chen,noah.chen0007@example.com,Germany,2023-11-21,Premium,833.70
CUST0008,Elena Garcia,elena.garcia0008@example.com,Australia,2023-12-06,Basic,2285.20
CUST0009,Omar Patel,omar.patel0009@example.com,Japan,2025-01-03,Premium,8272.83
CUST0010,Mia Brown,mia.brown0010@example.com,United Kingdom,2025-02-04,Standard,7058.47
CUST0011,Lucas Nguyen,lucas.nguyen0011@example.com,Australia,2025-03-28,Premium,6003.63
CUST0012,Hana Patel,hana.patel0012@example.com,Germany,2023-08-16,Premium,7277.43
CUST0013,Ethan Garcia,ethan.garcia0013@example.com,France,2023-07-24,Standard,5421.53
CUST0014,Zara Tanaka,zara.tanaka0014@example.com,India,2024-01-29,Standard,1820.33
CUST0015,Leo Hassan,leo.hassan0015@example.com,United Kingdom,2025-06-01,Basic,1496.12
CUST0016,Anika Rossi,anika.rossi0016@example.com,India,2024-08-04,Standard,2331.06
CUST0017,Kenji Costa,kenji.costa0017@example.com,Germany,2025-11-03,Standard,7172.10
CUST0018,Isla Patel,isla.patel0018@example.com,Germany,2022-03-07,Standard,3439.84
CUST0019,Rahul Smith,rahul.smith0019@example.com,Germany,2025-03-07,Basic,2709.03
CUST0020,Chloe Dubois,chloe.dubois0020@example.com,France,2025-08-09,Standard,1257.26
CUST0021,Aarav Chen,aarav.chen0021@example.com,Germany,2025-02-23,Basic,2270.17
CUST0022,Priya Singh,priya.singh0022@example.com,France,2025-04-10,Standard,3108.87
CUST0023,James Chen,james.chen0023@example.com,Japan,2022-07-06,Premium,7326.32
CUST0024,Sofia Chen,sofia.chen0024@example.com,India,2025-10-25,Standard,5089.66
CUST0025,Wei Brown,wei.brown0025@example.com,France,2025-05-05,Standard,4521.02
CUST0026,Amara Costa,amara.costa0026@example.com,United States,2025-10-25,Basic,1017.96
CUST0027,Noah Costa,noah.costa0027@example.com,Canada,2025-08-05,Standard,992.62
CUST0028,Elena Khan,elena.khan0028@example.com,India,2024-07-18,Premium,8109.74
CUST0029,Omar Hassan,omar.hassan0029@example.com,India,2024-11-05,Premium,7405.88
CUST0030,Mia Kim,mia.kim0030@example.com,Germany,2022-11-10,Standard,6493.22
CUST0031,Lucas Costa,lucas.costa0031@example.com,United States,2025-05-11,Standard,4178.72
CUST0032,Hana Garcia,hana.garcia0032@example.com,Australia,2023-09-22,Premium,539.47
CUST0033,Ethan Singh,ethan.singh0033@example.com,United Kingdom,2022-06-25,Basic,4156.62
CUST0034,Zara Smith,zara.smith0034@example.com,India,2022-09-20,Basic,4066.14
CUST0035,Leo Costa,leo.costa0035@example.com,India,2023-06-27,Basic,7422.06
CUST0036,Anika Khan,anika.khan0036@example.com,Germany,2025-01-09,Basic,5879.38
CUST0037,Kenji Kim,kenji.kim0037@example.com,France,2025-10-07,Basic,3205.40
CUST0038,Isla Andersen,isla.andersen0038@example.com,Japan,2022-09-05,Premium,1948.69
CUST0039,Rahul Silva,rahul.silva0039@example.com,United States,2025-04-19,Basic,1994.47
CUST0040,Chloe Rossi,chloe.rossi0040@example.com,United States,2022-05-26,Basic,5382.82
CUST0041,Aarav Rossi,aarav.rossi0041@example.com,United Kingdom,2022-03-06,Standard,648.74
CUST0042,Priya Rossi,priya.rossi0042@example.com,Canada,2025-10-02,Standard,1860.30
CUST0043,James Chen,james.chen0043@example.com,Japan,2023-05-13,Standard,6873.35
CUST0044,Sofia Johnson,sofia.johnson0044@example.com,United Kingdom,2022-07-18,Basic,3692.38
CUST0045,Wei Khan,wei.khan0045@example.com,France,2024-08-14,Basic,507.75
CUST0046,Amara Garcia,amara.garcia0046@example.com,United States,2024-04-04,Basic,2917.11
CUST0047,Noah Garcia,noah.garcia0047@example.com,Germany,2023-01-28,Premium,4581.61
CUST0048,Elena Chen,elena.chen0048@example.com,France,2023-01-11,Standard,3959.21
CUST0049,Omar Smith,omar.smith0049@example.com,Japan,2025-02-01,Premium,477.47
CUST0050,Mia Costa,mia.costa0050@example.com,United States,2022-07-11,Premium,1455.33
CUST0051,Lucas Dubois,lucas.dubois0051@example.com,Japan,2023-03-14,Standard,7675.64
CUST0052,Hana Nkosi,hana.nkosi0052@example.com,France,2022-01-05,Standard,2290.97
CUST0053,Ethan Muller,ethan.muller0053@example.com,Canada,2024-05-16,Basic,8139.33
CUST0054,Zara Costa,zara.costa0054@example.com,Japan,2022-11-14,Premium,2557.18
CUST0055,Leo Patel,leo.patel0055@example.com,United States,2023-10-05,Premium,473.70
CUST0056,Anika Dubois,anika.dubois0056@example.com,India,2022-04-27,Basic,726.94
CUST0057,Kenji Nkosi,kenji.nkosi0057@example.com,United Kingdom,2025-05-03,Premium,5755.55
CUST0058,Isla Rossi,isla.rossi0058@example.com,France,2022-09-03,Basic,2130.52
CUST0059,Rahul Nguyen,rahul.nguyen0059@example.com,United States,2025-06-22,Premium,3592.45
CUST0060,Chloe Singh,chloe.singh0060@example.com,Australia,2023-06-19,Premium,5709.18
CUST0061,Aarav Silva,aarav.silva0061@example.com,Germany,2023-06-28,Standard,1155.92
CUST0062,Priya Kim,priya.kim0062@example.com,Japan,2023-10-10,Premium,128.72
CUST0063,James Nguyen,james.nguyen0063@example.com,United Kingdom,2022-05-31,Basic,1851.15
CUST0064,Sofia Hassan,sofia.hassan0064@example.com,India,2023-12-16,Premium,7479.83
CUST0065,Wei Tanaka,wei.tanaka0065@example.com,Canada,2022-11-20,Standard,7095.14
CUST0066,Amara Kim,amara.kim0066@example.com,United States,2025-09-29,Basic,2579.75
CUST0067,Noah Garcia,noah.garcia0067@example.com,India,2023-06-26,Premium,7568.07
CUST0068,Elena Costa,elena.costa0068@example.com,India,2023-07-12,Standard,5160.81
CUST0069,Omar Silva,omar.silva0069@example.com,Germany,2025-11-08,Basic,7257.11
CUST0070,Mia Andersen,mia.andersen0070@example.com,Japan,2023-05-30,Premium,829.92
CUST0071,Lucas Khan,lucas.khan0071@example.com,Canada,2022-04-01,Premium,2868.55
CUST0072,Hana Chen,hana.chen0072@example.com,Canada,2022-11-27,Basic,3783.51
CUST0073,Ethan Khan,ethan.khan0073@example.com,United States,2022-08-18,Premium,8035.68
CUST0074,Zara Chen,zara.chen0074@example.com,United States,2024-01-27,Basic,4718.84
CUST0075,Leo Khan,leo.khan0075@example.com,India,2022-03-27,Standard,3131.31
CUST0076,Anika Patel,anika.patel0076@example.com,Australia,2023-03-07,Basic,2158.53
CUST0077,Kenji Garcia,kenji.garcia0077@example.com,Australia,2025-02-20,Standard,8278.92
CUST0078,Isla Chen,isla.chen0078@example.com,Germany,2022-11-29,Premium,7497.97
CUST0079,Rahul Sharma,rahul.sharma0079@example.com,India,2023-11-12,Standard,6828.89
CUST0080,Chloe Rossi,chloe.rossi0080@example.com,Canada,2022-11-23,Basic,963.41
CUST0081,Aarav Patel,aarav.patel0081@example.com,Japan,2023-04-01,Premium,6950.16
CUST0082,Priya Muller,priya.muller0082@example.com,Australia,2023-09-18,Premium,1933.70
CUST0083,James Johnson,james.johnson0083@example.com,France,2023-11-04,Standard,7353.78
CUST0084,Sofia Hassan,sofia.hassan0084@example.com,Australia,2025-08-06,Basic,3427.28
CUST0085,Wei Costa,wei.costa0085@example.com,Australia,2022-02-26,Premium,7460.97
CUST0086,Amara Hassan,amara.hassan0086@example.com,India,2025-04-04,Standard,373.27
CUST0087,Noah Nguyen,noah.nguyen0087@example.com,France,2023-12-09,Basic,6695.32
CUST0088,Elena Khan,elena.khan0088@example.com,United Kingdom,2024-02-28,Basic,1656.17
CUST0089,Omar Patel,omar.patel0089@example.com,France,2022-01-04,Basic,7871.11
CUST0090,Mia Costa,mia.costa0090@example.com,Germany,2024-01-16,Standard,641.28
CUST0091,Lucas Silva,lucas.silva0091@example.com,Australia,2025-09-20,Premium,6131.92
CUST0092,Hana Kim,hana.kim0092@example.com,Canada,2025-09-27,Standard,2806.25
CUST0093,Ethan Kim,ethan.kim0093@example.com,India,2023-01-28,Standard,5668.65
